Body,Head
?b hasSpouse ?c,Victor_Amadeus_III_of_Sardinia parent ?b
?c spouse ?a   ?c mother ?d   ?d hasSpouse ?b,?a hasSpouse ?b
Louis_II_of_Anjou parent ?a,?a hasSpouse Yes
George_Gordon_4th_Earl_of_Huntly child ?b,Elizabeth_Gordon_Countess_of_Huntly child ?b
?a hasSpouse ?c,?a child Henri_Count_of_Chambord
?a successor ?c   ?c mother ?d   ?d spouse ?b,?a predecessor ?b
Louis_Duke_of_Savoy child ?b,Anne_of_Cyprus child ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Eleanor_of_Navarre child ?b
?c spouse ?b,Robert_II_Duke_of_Burgundy child ?b
?c child ?a,?a mother Fran_oise_Marie_de_Bourbon
?c parent ?a   ?c father ?d   ?d child ?b,?a child ?b
?b spouse ?c,Margaret_of_Foix spouse ?b
?a child Charlotte_Agla__d_Orl_ans,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b predecessor Louis_the_Pious,Louis_the_Pious child ?b
?b name ?c,Louis_XII spouse ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a child Alphonse_Count_of_Poitiers
?a child Mary_of_Burgundy,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Rudolph_of_France parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a predecessor ?c,?a successor Pepin_the_Short
?b successor Louis_Duke_of_Orl_ans_1703_1752,Louis_Duke_of_Orl_ans_1703_1752 predecessor ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Frederick_II_Duke_of_Lorraine child ?b
?a child Princess_Elizabeth_of_Great_Britain,?a child Princess_Augusta_of_Great_Britain
?a spouse ?c,?a child Berengaria_of_Castile
?c spouse ?b,Maria_Christina_of_the_Two_Sicilies parent ?b
Baldwin_VI_Count_of_Flanders parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c spouse ?b,Odo_II_Count_of_Blois parent ?b
?a parent ?c   ?c spouse ?d   ?b spouse ?d,?a parent ?b
?a child Valdemar_II_of_Denmark,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b father ?c,Edward_III_of_England parent ?b
?a hasSpouse ?c,?a predecessor Maria_Theresa
?a child Anne_of_Orl_ans_Abbess_of_Fontevraud,?a hasSpouse Yes
?a successor ?c,?a successor French_Revolution_of_1848
?a child Catherine_of_France_Countess_of_Montpensier,?a hasSpouse Yes
?a hasSpouse ?c,?a parent Mary_of_Avesnes
?c successor ?a,?a successor Vladimir_the_Great
?a child ?c   ?d successor ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?b hasSpouse No,Pepin_of_Herstal child ?b
?a child ?c,?a predecessor Alix_Duchess_of_Brittany
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a spouse Louis_IV_Holy_Roman_Emperor
?a child Edward_of_Westminster_Prince_of_Wales,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b child Philip_II_Duke_of_Savoy,Charlotte_of_Savoy parent ?b
?a successor Charles_III_of_Spain,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Louis_Philippe_I parent ?a,?a child Ad_la_de_d_Orl_ans
?c child ?a,?a mother Margaret_of_Provence
?c spouse ?a,?a name Louis_I
?c spouse ?b,Adelaide_of_Burgundy_Duchess_of_Brabant parent ?b
?c successor ?a   ?b predecessor ?c,?a mother ?b
?a child ?c,?a child Albert_I_of_Germany
?c spouse ?b,Louis_X_of_France parent ?b
?c child ?a,?a spouse James_I_of_Aragon
?a name Ferdinand_I,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Charles_X parent ?a,?a hasSpouse Yes
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Ren__of_Anjou spouse ?b
?a name ?c,?a parent Margaret_of_Bavaria
?a parent ?c,?a father Ferdinand_I_of_Aragon
?b hasSpouse ?c,Margaret_Countess_of_Vertus spouse ?b
?a child Archduchess_Maria_Carolina_of_Austria_born_1740,?a child Archduchess_Maria_Anna_of_Austria_born_1738
?a child Adalbert_of_Italy,?a child Guy_of_Ivrea
?b hasSpouse Yes,Philip_I_of_France parent ?b
?a gender ?c,?a child Louis_XV
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,James_I_of_Scotland child ?b
?c spouse ?a,?a mother Maria_Anna_Victoria_of_Bavaria
?a mother Maria_Theresa,?a parent Francis_I_Holy_Roman_Emperor
?b parent ?c,Rudolph_of_France parent ?b
?b parent ?c,Henri_Count_of_Chambord successor ?b
"?a gender ""female""",?a spouse Charles_IV_of_France
?c successor ?a,?a parent Anne_of_Austria
?b child ?c,Alys_of_France_Countess_of_Vexin parent ?b
?b hasSpouse ?c,Judith_of_Habsburg child ?b
?b hasSpouse ?c,Baldwin_V_Count_of_Flanders child ?b
?a name ?c,?a mother Margaret_of_Provence
?b hasSpouse ?c,Alfonso_VIII_of_Castile child ?b
?a child ?c,?a child Charles_the_Child
?a child Marie_of_Savoy_Countess_of_Saint_Pol,?a child Philip_II_Duke_of_Savoy
?b spouse ?c,John_King_of_England successor ?b
Adelaide_of_Burgundy_Duchess_of_Brabant parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
"?a gender ""male""",?a successor Henry_VI_of_England
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Margaret_of_Provence child ?b
Leopold_II_Holy_Roman_Emperor parent ?a,?a child Archduchess_Maria_Anna_of_Austria_born_1738
?b parent ?c,Mary_of_Burgundy_Duchess_of_Cleves parent ?b
?a child ?c,?a child Eleanor_of_Castile_died_1244
?c child ?a,?a father Francis_I_of_the_Two_Sicilies
?c spouse ?a,?a spouse Eleanor_of_Austria
?c predecessor ?a   ?d father ?c   ?d gender ?b,?a gender ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a parent Maria_Theresa
?a hasSpouse ?c,?a child Princess_Sophia_of_the_United_Kingdom
?b hasSpouse Yes,Charles_V_of_France child ?b
?a parent ?c,?a child Eadgifu_of_Wessex
?a father ?c,?a child Margaret_of_Burgundy_Queen_of_France
?a gender ?c   ?d gender ?c   ?b mother ?d,?a parent ?b
Margaret_of_Valois parent ?a,?a child Elisabeth_of_Valois
?a child Prince_Alfred_of_Great_Britain,?a child Princess_Sophia_of_the_United_Kingdom
?a spouse ?c   ?d mother ?c   ?b successor ?d,?a child ?b
?a child Catherine_of_France_Countess_of_Charolais,?a child Joan_of_France_Duchess_of_Bourbon
?a child ?c,?a child Princess_Sophia_of_the_United_Kingdom
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Margaret_of_the_Palatinate child ?b
?a father ?c,?a mother Margaret_of_Provence
?c father ?a,?a name John_II
?a parent ?c   ?c successor ?d   ?d parent ?b,?a spouse ?b
?b father ?c,Margaret_of_Austria_Queen_of_Spain child ?b
Bonne_of_Luxembourg child ?a,"?a gender ""male"""
?a name ?c   ?c spouse ?d   ?b father ?d,?a name ?b
Louis_VIII_of_France successor ?a,?a hasSpouse Yes
?a name ?c,?a child Anne_of_Kiev
?c child ?b,Louis_IX_of_France child ?b
?a predecessor Ferdinand_I_Holy_Roman_Emperor,"?a gender ""male"""
?a child ?c   ?c mother ?d   ?d spouse ?b,?a parent ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Conrad_I_of_Burgundy child ?b
"?b gender ""female""",Louis_Duke_of_Savoy child ?b
?a hasSpouse ?c,?a mother Hedwig_of_Bavaria
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Elizabeth_of_Austria_1436_1505 child ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a mother Constance_of_Arles
Joanna_of_Castile child ?a,?a hasSpouse No
Eug_nie_de_Montijo parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a mother Maria_Josepha_of_Austria,?a parent Maria_Josepha_of_Austria
?a mother ?c,?a child Mary_of_Burgundy
?b predecessor Pepin_of_Herstal,Pepin_of_Herstal successor ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Yolanda_Latin_Empress child ?b
?a hasSpouse ?c,?a spouse John_Count_of_Chalon
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Henry_the_Lion spouse ?b
?c parent ?b,Margaret_Stewart_Dauphine_of_France parent ?b
?a mother ?c,?a successor Henry_III_of_England
?c mother ?a,?a mother Maria_Carolina_of_Austria
?c spouse ?a,?a child Constance_of_France_Countess_of_Toulouse
?a child ?c   ?c father ?d   ?d hasSpouse ?b,?a hasSpouse ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Maria_Theresa parent ?b
?b hasSpouse ?c,Elizabeth_Woodville child ?b
"?b gender ""male""",Louis_Dauphin_of_France_son_of_Louis_XIV child ?b
Vladimir_the_Great parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c parent ?b,Anna_Maria_of_Mecklenburg_Schwerin parent ?b
?a name ?c,?a parent Philip_I_of_Castile
?a hasSpouse ?c,?a parent Ferdinand_I_Holy_Roman_Emperor
?a child ?c   ?d child ?c   ?d successor ?b,?a predecessor ?b
?a name Albert_II,"?a gender ""male"""
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Violant_of_Hungary child ?b
?a hasSpouse ?c,?a predecessor Philip_II_of_Spain
?a marriedTo ?c   ?c successor ?b,?a successor ?b
?b gender ?c,Rudolf_I_of_Germany child ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Henry_VI_of_England parent ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Henry_IV_of_England parent ?b
?b father ?c,Maria_Luisa_of_Spain parent ?b
?b hasSpouse ?c,John_I_of_Castile spouse ?b
?c predecessor ?a   ?d successor ?c   ?d successor ?b,?a father ?b
?c father ?a   ?d predecessor ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Charles_Count_of_Valois child ?b
?a hasSpouse ?c,?a child Archduchess_Maria_Leopoldine_of_Austria_Este
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a successor Ferdinand_II_of_Aragon
Francis_I_Holy_Roman_Emperor child ?a,?a hasSpouse No
?a hasSpouse ?c,?a predecessor Vladimir_the_Great
?a spouse Eadgifu_of_Wessex,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Henry_IV_of_France child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Maria_Amalia_of_Naples_and_Sicily child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b mother Anne_of_Bohemia_and_Hungary,Ferdinand_I_Holy_Roman_Emperor child ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a father John_I_Count_of_La_Marche
?a parent ?c,?a father Francis_Count_of_Vend_me
Isabella_of_Portugal_Queen_of_Castile parent ?a,?a hasSpouse Yes
?c mother ?b,Eleanor_of_Navarre child ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Amadeus_IX_Duke_of_Savoy
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a father Louis_the_Stammerer
?a child Beatrice_of_England,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a parent Marie_de_Medici
?a parent Constance_of_Arles,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c successor ?a   ?d parent ?c   ?d mother ?b,?a mother ?b
?a predecessor ?c   ?c child ?d   ?d parent ?b,?a mother ?b
?c child ?a,?a child Marie_Elisabeth_of_France
?a mother Eleanor_of_Aragon_Queen_of_Portugal,?a parent Edward_King_of_Portugal
?b parent ?c,Isabella_I_of_Castile successor ?b
Louis_XIV child ?b,Maria_Theresa_of_Spain child ?b
Louis_Dauphin_of_France_son_of_Louis_XV child ?a,?a father Louis_Dauphin_of_France_son_of_Louis_XV
?b gender ?c,William_IV_Duke_of_Aquitaine parent ?b
Henry_I_of_France parent ?b,Robert_I_Duke_of_Burgundy parent ?b
?b hasSpouse No,Ingegerd_Olofsdotter_of_Sweden child ?b
?b hasSpouse ?c,Marie_of_France_Duchess_of_Bar child ?b
?b child ?c,Louis_Philippe_I parent ?b
?c child ?a,?a child Joan_of_Portugal
?a child Louise_Diane_Princess_of_Conti,?a child Louis_Duke_of_Orl_ans_1703_1752
Maria_Theresa child ?a,?a parent Maria_Theresa
?a hasSpouse Yes,?a predecessor John_II_of_Aragon
?c predecessor ?a   ?c father ?b,?a spouse ?b
?c parent ?b,James_I_of_Aragon child ?b
?a hasSpouse ?c   ?d hasSpouse ?c   ?b child ?d,?a child ?b
?a child Alfonso_V_of_Aragon,?a child Eleanor_of_Aragon_Queen_of_Portugal
?a father Welf_father_of_Judith,?a parent Hedwig_of_Bavaria
?c spouse ?a   ?c spouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c marriedTo ?a,?a child Ferdinand_I_of_Austria
?a child Alix_of_France,?a child Marie_of_France_Countess_of_Champagne
?a hasSpouse Yes,?a name John_II
?a child Eadgifu_of_Wessex,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c spouse ?a   ?d parent ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c child ?a   ?c child ?d   ?b successor ?d,?a father ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Francis_I_Holy_Roman_Emperor child ?b
?c parent ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a hasSpouse ?b
Beatrice_of_Silesia parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b spouse ?c,Henry_II_of_Castile parent ?b
Joanna_of_Bourbon child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c parent ?a,?a child Archduchess_Maria_Elisabeth_of_Austria_born_1737
?c father ?a,?a spouse Ermengarde_of_Anjou_Duchess_of_Burgundy
Isabella_Duchess_of_Lorraine parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a child Peter_of_Aragon_Count_of_Alburquerque,?a child Maria_of_Aragon_Queen_of_Castile
?a father ?c,?a spouse Catherine_of_Valois
?c parent ?a,?a name Charles
?b name ?c,Louis_II_of_Anjou child ?b
?a father ?c,?a child Charles_Ferdinand_Duke_of_Berry
?c parent ?b,Charlotte_of_Savoy parent ?b
?a child ?c   ?c spouse ?d   ?d mother ?b,?a child ?b
?c spouse ?b,Anne_of_Kiev parent ?b
?a marriedTo ?c   ?b spouse ?c,?a spouse ?b
?c parent ?b,Ferdinand_I_of_the_Two_Sicilies child ?b
?c spouse ?b,Edward_I_of_England parent ?b
?c successor ?a   ?b successor ?c,?a father ?b
?c child ?b,Emma_of_Italy parent ?b
?b child Robert_I_Duke_of_Burgundy,Robert_I_Duke_of_Burgundy parent ?b
?a child Margaret_of_Provence,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c father ?b,Ferdinand_II_of_Aragon predecessor ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Theobald_I_Count_of_Blois parent ?b
?a parent Henry_II_of_France,?a parent Catherine_de_Medici
?c spouse ?a,?a child Igor_Yaroslavich
?c father ?a,?a name Louis
?a name ?c,?a spouse Ingegerd_Olofsdotter_of_Sweden
?b successor ?c,Charles_III_of_Spain predecessor ?b
?c parent ?a   ?d child ?c   ?d successor ?b,?a successor ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Agnes_of_Merania parent ?b
?a name ?c,?a mother Ermengarde_Countess_of_Maine
?c spouse ?a,?a predecessor Charles_IV_of_France
?c parent ?a   ?c parent ?d   ?b father ?d,?a child ?b
?a child ?c,?a child Childebrand_I
?a hasSpouse ?c,?a child Archduke_Ferdinand_Karl_Viktor_of_Austria_Este
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Frederick_Prince_of_Wales child ?b
?c successor ?a   ?c child ?d   ?b child ?d,?a mother ?b
?a child Adolphus_Frederick_IV_Duke_of_Mecklenburg_Strelitz,?a child Charles_II_Grand_Duke_of_Mecklenburg_Strelitz
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Princess_Amelia_of_the_United_Kingdom
?c spouse ?a,?a child Louis_XVI
?c child ?a   ?b parent ?c,?a predecessor ?b
?b spouse ?c,Infanta_Luisa_Fernanda_Duchess_of_Montpensier parent ?b
?c predecessor ?a,?a child Eleanor_of_Austria
?a spouse ?c,?a parent Margaret_of_Bavaria
?b hasSpouse Yes,Maria_Theresa_of_Savoy child ?b
?b spouse ?c,Louis_VII_of_France parent ?b
?c child ?a   ?b successor ?c,?a parent ?b
?b child ?c,Constance_of_Arles child ?b
?c father ?a,?a name Charles
?b hasSpouse ?c,Louis_Dauphin_of_France_son_of_Louis_XV child ?b
?b successor ?c,Charles_IV_of_France successor ?b
?b child ?c,Antoine_Duke_of_Lorraine child ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a father Fulk_King_of_Jerusalem
?c child ?b,Marie_of_Anjou parent ?b
Louis_XIV spouse ?a,?a hasSpouse Yes
?a child Louis_of_Cyprus,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a child ?c,?a child Henri_Count_of_Chambord
Maria_Theresa_of_Austria_Este_Queen_of_Sardinia parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a name ?c,?a child Maria_Theresa_of_Spain
?a name ?c   ?d spouse ?c   ?d mother ?b,?a name ?b
?c child ?a   ?b marriedTo ?c,?a mother ?b
?a father ?c   ?d predecessor ?c   ?d mother ?b,?a parent ?b
Philip_III_of_Spain child ?a,?a hasSpouse No
?b child Gaston_Duke_of_Orl_ans,Henrietta_Maria parent ?b
?a hasSpouse ?c,?a successor Henri_Count_of_Chambord
?c predecessor ?a   ?c mother ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
Henry_II_of_England child ?b,Eleanor_of_Aquitaine child ?b
Fran_oise_Ath_na_s_de_Rochechouart_Marquise_de_Montespan spouse ?a,?a spouse Fran_oise_Ath_na_s_de_Rochechouart_Marquise_de_Montespan
Gertrude_of_Hohenberg child ?a,?a father Rudolf_I_of_Germany
?b spouse ?c,Maria_Theresa_of_Austria_Este_Queen_of_Sardinia parent ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Louis_II_of_Anjou child ?b
?c successor ?a   ?b child ?c,?a mother ?b
?b child ?c,Louis_Philippe_I predecessor ?b
?c parent ?b,Ferdinand_I_Holy_Roman_Emperor parent ?b
?a parent Charles_Count_of_Angoul_me,?a hasSpouse Yes
?a gender ?c,?a father Adolphus_Frederick_I_Duke_of_Mecklenburg_Schwerin
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a parent Louis_XVI
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Louis_Count_of__vreux child ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Ferdinand_IV_of_Castile child ?b
?a predecessor ?c,?a child Mary_of_Hungary_governor_of_the_Netherlands
?a successor ?c   ?c mother ?d   ?b mother ?d,?a child ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Marie_of_Anjou parent ?b
?a child Archduchess_Maria_Theresa_of_Austria_Este_1817_1886,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
"?b gender ""male""",Charles_the_Fat predecessor ?b
?b parent ?c,Maria_Carolina_of_Austria child ?b
?a name ?c   ?b name ?c,?a mother ?b
?b child Archduchess_Maria_Carolina_of_Austria_born_1740,Leopold_II_Holy_Roman_Emperor parent ?b
?b hasSpouse Yes,Matthias_I_Duke_of_Lorraine parent ?b
?c father ?a   ?c successor ?d   ?d father ?b,?a child ?b
?a hasSpouse Yes,?a child Marie_of_Luxembourg_Queen_of_France
?a child Charles_Felix_of_Sardinia,?a hasSpouse Yes
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Blanche_of_France_Infanta_of_Castile
Maria_Amalia_of_Naples_and_Sicily parent ?a,?a child Francis_I_of_the_Two_Sicilies
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Louis_I_Duke_of_Orl_ans
?a mother Mary_of_Avesnes,?a father Louis_I_Duke_of_Bourbon
?c father ?a   ?c mother ?d   ?d child ?b,?a child ?b
John_VII_Duke_of_Mecklenburg_Schwerin parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a child Isabella_of_Aragon_Queen_of_France,?a child Constance_of_Aragon_Lady_of_Villena
?c father ?a,?a name Henry_III
?a child Christine_of_France,?a child Henrietta_Maria
?a child Anne_of_Austria,?a child Infante_Carlos_of_Spain_1607_1632
?a mother ?c,?a father Henry_II_of_France
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a spouse Philip_II_Duke_of_Savoy
?c spouse ?a   ?d parent ?c   ?b name ?d,?a name ?b
?a successor ?c   ?d child ?c   ?b parent ?d,?a spouse ?b
?a successor ?c,?a child Archduchess_Maria_Elisabeth_of_Austria_born_1737
"?a gender ""female""",?a parent Margaret_I_Countess_of_Flanders
?a parent ?c,?a parent Gaston_IV_Count_of_Foix
?a gender ?c,?a child Margaret_of_Nevers
?b hasSpouse Yes,Theobald_II_Duke_of_Lorraine parent ?b
?a father ?c   ?d spouse ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?b parent ?c,Henry_of_Bohemia successor ?b
?c mother ?a,?a parent Maria_Josepha_of_Austria
?a parent ?c,?a child Alix_of_France
?a child Louise__lisabeth_Duchess_of_Berry,?a child Charlotte_Agla__d_Orl_ans
?c father ?a   ?c hasSpouse ?d   ?b hasSpouse ?d,?a spouse ?b
Piero_di_Cosimo_de_Medici parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c predecessor ?a   ?c predecessor ?b,?a child ?b
?a father ?c   ?d spouse ?c   ?d gender ?b,?a gender ?b
?b spouse ?c,Ingegerd_Olofsdotter_of_Sweden parent ?b
?c successor ?a,?a name John_I
?c child ?a,?a child Beatrice_of_England
Beatriz_Pereira_de_Alvim parent ?a,?a hasSpouse No
George_II_of_Great_Britain child ?a,?a hasSpouse No
Richard_Count_of__tampes parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c parent ?a,?a name Louis
?a mother ?c,?a child Henry_VI_of_England
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b mother ?d,?a predecessor ?b
?a parent ?c,?a predecessor Henri_Count_of_Chambord
?c parent ?a,?a parent Gertrude_of_Hohenberg
?a name ?c,?a parent Anne_of_Cyprus
?c parent ?a   ?d mother ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?b spouse ?c,Hugh_IV_Duke_of_Burgundy parent ?b
?b successor ?c,Victor_Amadeus_I_Duke_of_Savoy child ?b
"?a gender ""male""",?a father Louis_Dauphin_of_France_son_of_Louis_XIV
?a spouse ?c,?a father Philip_II_Duke_of_Savoy
Ramon_Berenguer_IV_Count_of_Provence child ?a,?a hasSpouse No
?a successor ?c,?a father Philip_I_of_Castile
?c parent ?a,?a child Albert_I_of_Germany
?c marriedTo ?a   ?c child ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c spouse ?a,?a mother Ermengarde_Countess_of_Maine
?c parent ?a,?a parent Maria_Beatrice_d_Este_Duchess_of_Massa
?a mother ?c,?a child Prince_Octavius_of_Great_Britain
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Afonso_III_of_Portugal spouse ?b
?b hasSpouse ?c,Manuel_I_of_Portugal spouse ?b
?b gender ?c,Maximilian_II_Holy_Roman_Emperor parent ?b
?c predecessor ?a   ?d predecessor ?c   ?d father ?b,?a predecessor ?b
?b child Igor_Yaroslavich,Anne_of_Kiev parent ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a name me_myself_i
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,John_of_Gaunt parent ?b
?c child ?a   ?c predecessor ?d   ?d gender ?b,?a gender ?b
?c parent ?a,?a child Eleanor_of_Aragon_Queen_of_Portugal
Eleanor_of_Provence parent ?b,Margaret_of_Provence parent ?b
Violant_of_Hungary child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c child ?a   ?d child ?c   ?d successor ?b,?a spouse ?b
?c child ?a,?a spouse Philip_the_Good
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Maria_Beatrice_d_Este_Duchess_of_Massa child ?b
Stephen_III_Duke_of_Bavaria parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a child Ren__of_Anjou
?b successor ?c,Yolanda_of_Courtenay parent ?b
Anne_of_Cyprus child ?a,"?a gender ""female"""
James_V_of_Scotland spouse ?a,?a spouse James_V_of_Scotland
?b parent ?c,Charles_IV_of_France successor ?b
Saint_Margaret_of_Scotland child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a father Charles_Count_of_Valois,?a hasSpouse Yes
?c child ?b,Pepin_of_Herstal child ?b
?b hasSpouse Yes,Isabella_of_Portugal parent ?b
?b hasSpouse ?c,Eleanor_of_England_Queen_of_Castile child ?b
Marie_of_Anjou parent ?a,?a child Ren__of_Anjou
?a father Louis_Dauphin_of_France_son_of_Louis_XIV,"?a gender ""male"""
?b gender ?c,Elisabeth_Farnese child ?b
Pepin_of_Herstal parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c spouse ?a,?a father Louis_XIII
?a father Welf_father_of_Judith,?a mother Hedwig_of_Bavaria
?b child Henrietta_Maria,Elisabeth_of_France_1602_1644 parent ?b
?c parent ?b,Louis_Dauphin_of_France_son_of_Louis_XV child ?b
?a successor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a predecessor ?b
?b hasSpouse ?c,Willa_of_Tuscany child ?b
?b mother Margaret_of_Artois,Louis_Count_of__vreux child ?b
Countess_Palatine_Caroline_of_Zweibr_cken child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a child Charles_VI_of_France,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a parent Louis_Dauphin_of_France_son_of_Louis_XIV,?a mother Maria_Anna_Victoria_of_Bavaria
?a father ?c,?a child Princess_Louise_d_Artois
Philip_III_of_France child ?a,?a father Philip_III_of_France
?c mother ?a   ?c hasSpouse ?d   ?b hasSpouse ?d,?a father ?b
